Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,Working-age (16-64) - 2015,Older people aged 65+ - 2015,Average GCSE capped point scores - 2014
Camden - West Hampstead,00AGGX,E05000145,"12,550","1,650","9,750","1,150",328
Croydon - Addiscombe,00AHGE,E05000146,"17,750","3,550","12,450","1,750",318
Croydon - Ashburton,00AHGF,E05000147,"15,150","2,950","9,950","2,200",320
Croydon - Bensham Manor,00AHGG,E05000148,"16,600","4,000","10,850","1,700",312
Croydon - Broad Green,00AHGH,E05000149,"20,050","5,300","13,250","1,500",309
Croydon - Coulsdon East,00AHGJ,E05000150,"12,700","2,350","7,600","2,750",335
Croydon - Coulsdon West,00AHGK,E05000151,"14,150","2,600","9,250","2,300",352
Croydon - Croham,00AHGL,E05000152,"16,200","3,250","10,900","2,050",341
Croydon - Fairfield,00AHGM,E05000153,"21,750","4,200","15,350","2,250",317
Croydon - Fieldway,00AHGN,E05000154,"11,850","3,500","7,150","1,200",276
Croydon - Heathfield,00AHGP,E05000155,"13,600","2,450","8,650","2,450",309
Croydon - Kenley,00AHGQ,E05000156,"15,650","3,250","9,900","2,450",330
Croydon - New Addington,00AHGR,E05000157,"11,250","2,750","7,000","1,450",290
Croydon - Norbury,00AHGS,E05000158,"17,100","3,550","11,250","2,300",327
Croydon - Purley,00AHGT,E05000159,"15,550","3,050","10,050","2,450",346
Croydon - Sanderstead,00AHGU,E05000160,"13,200","2,250","8,200","2,750",347
Croydon - Selhurst,00AHGW,E05000161,"18,550","4,850","12,000","1,700",317
Croydon - Selsdon and Ballards,00AHGX,E05000162,"12,200","1,700","7,800","2,750",340
Croydon - Shirley,00AHGY,E05000163,"14,700","2,900","9,100","2,700",319
Croydon - South Norwood,00AHGZ,E05000164,"16,900","3,750","11,450","1,750",319
Croydon - Thornton Heath,00AHHA,E05000165,"16,900","4,300","11,000","1,600",298
Croydon - Upper Norwood,00AHHB,E05000166,"16,600","3,450","11,200","1,950",318
Croydon - Waddon,00AHHC,E05000167,"17,650","4,100","11,650","1,850",305
Croydon - West Thornton,00AHHD,E05000168,"18,000","4,550","11,650","1,750",318
Croydon - Woodside,00AHHE,E05000169,"17,100","4,200","11,400","1,500",299
Ealing - Acton Central,00AJGC,E05000170,"15,850","3,150","11,050","1,600",336
Ealing - Cleveland,00AJGD,E05000171,"14,850","3,200","9,750","1,900",339
Ealing - Dormers Wells,00AJGE,E05000172,"14,150","3,150","9,250","1,750",308
Ealing - Ealing Broadway,00AJGF,E05000173,"15,550","2,300","11,400","1,850",349
Ealing - Ealing Common,00AJGG,E05000174,"14,200","2,250","10,250","1,700",339
Ealing - East Acton,00AJGH,E05000175,"19,800","3,950","14,200","1,700",306
Ealing - Elthorne,00AJGJ,E05000176,"15,100","3,150","10,350","1,600",313
Ealing - Greenford Broadway,00AJGK,E05000177,"17,750","4,400","11,300","2,050",315
Ealing - Greenford Green,00AJGL,E05000178,"14,500","3,100","9,600","1,800",325
Ealing - Hanger Hill,00AJGM,E05000179,"15,750","3,000","10,550","2,200",330
Ealing - Hobbayne,00AJGN,E05000180,"14,300","3,250","9,350","1,750",328
Ealing - Lady Margaret,00AJGP,E05000181,"14,100","2,750","9,600","1,700",337
Ealing - Northfield,00AJGQ,E05000182,"13,700","2,700","9,400","1,600",380
Ealing - North Greenford,00AJGR,E05000183,"14,900","3,050","9,900","1,900",323
Ealing - Northolt Mandeville,00AJGS,E05000184,"15,350","3,600","9,900","1,850",303
Ealing - Northolt West End,00AJGT,E05000185,"15,200","3,950","9,700","1,550",320
Ealing - Norwood Green,00AJGU,E05000186,"14,200","2,950","9,650","1,600",309
Ealing - Perivale,00AJGW,E05000187,"15,450","3,200","10,350","1,950",340
Ealing - South Acton,00AJGX,E05000188,"16,200","3,350","11,100","1,750",321
Ealing - Southall Broadway,00AJGY,E05000189,"16,200","3,700","10,900","1,600",316
Ealing - Southall Green,00AJGZ,E05000190,"15,200","3,600","10,250","1,350",306
Ealing - Southfield,00AJHA,E05000191,"13,600","2,500","9,500","1,550",351
Ealing - Walpole,00AJHB,E05000192,"13,500","2,600","9,400","1,550",371
Enfield - Bowes,00AKGL,E05000193,"14,550","2,650","10,250","1,650",330
Enfield - Bush Hill Park,00AKGM,E05000194,"14,150","2,500","9,050","2,600",353
Enfield - Chase,00AKGN,E05000195,"14,000","3,150","8,950","1,950",317
Enfield - Cockfosters,00AKGP,E05000196,"14,100","2,250","9,100","2,750",340
